1   0.883
2   0.271
3   0.326
4   0.249
5   0.404
6   0.761
7   0.522
8   0.424
9   0.224
10  0.351
11  0.250
12  0.314
13  0.352
14  0.283
15  0.453
16  0.292
17  0.281
18  0.307
19  0.289
20  0.643
21  0.301
22  0.249
23  0.221
24  0.327
25  0.299
26  0.321
27  0.523
28  0.238
29  0.324
30  0.269
31  0.704
32  0.638
33  0.400
34  0.459
35  0.279
36  0.768
37  0.291
38  0.304
39  0.497
40  0.250
41  0.602
42  0.897
43  0.298
44  0.399
45  0.552
46  0.260
47  0.279
48  0.269
49  0.241
50  0.767
51  0.639
52  0.481
53  0.479
54  0.230
55  0.300
56  0.642
57  0.221
58  0.249
59  0.702
60  0.582
61  0.503
62  0.767
63  0.429
64  0.379
65  0.380
66  0.349
67  0.649
68  0.349
69  0.300
70  0.451
71  0.422
72  0.481
73  0.651
74  0.561
75  0.399
76  0.753
77  0.451
78  0.639
79  0.569
80  0.324
81  0.449
82  0.803
83  0.391
84  0.643
85  0.719
86  0.764
87  0.299
88  0.291
89  0.320
90  0.739
91  0.451
92  0.291
93  0.697
94  0.399
95  0.492
96  0.679
97  0.338
98  0.603
